author_of_the_papers,year_of_publishing,paper_heading,study_duration_months,mammal_species,mammal_group,country,latitude ,longitude
Agetsuma 1995,1995,Foraging Strategies of Yakushima Macaques (Macaca fuscata yakui) ,27,Japanese macaque,Primate,Japan,30.34459444 N,130.51271389 E
Agetsuma et al 2011,2011,Food habits of Japanese deer in an evergreen forest: Litter-feeding deer,48,Sika deer,Herbivore,Japan,30.34459444 N,130.51271389 E
Agetsuma et al 2018,2018,Plant constituents affecting food selection by sika deer,19,Sika deer,Herbivore,Japan,30.34459444 N,130.51271389 E
Akhtar  et al 2004,2004,"Sloth bear habitat use in disturbed and unprotected areas of Madhya Pradesh, India",24,Sloth bear,Carnivore,India,22.77272778 N,81.96244444 E
Akhtar & Chauhan 2009,2009,"FOOD HABITS AND HUMAN-JACKAL INTERACTION IN MARWAHI FOREST DIVISION, BILASPUR CHHATTISGARH",12,Golden Jackal,Carnivore,India,23.00638333 N,82.05420556 E
Akihito et al 2016,2016,"Long-term Trends in Food Habits of the Raccoon Dog, Nyctereutes viverrinus, in the Imperial Palace, Tokyo",48,Raccoon dog,Carnivore,Japan,35.69210556 N,139.75230833 E
Akrim et al 2009,2009,"Distribution, Dietary Breadth and Niche Overlap between Two Sympatric Mongoose Species Inhabiting Pir Lasura National Park, Azad Jammu and Kashmir, Pakistan",24,Indian grey mongoose,Carnivore,Pakistan,32.46081944 N,74.07455556 E
Akrim et al 2009,2009,"Distribution, Dietary Breadth and Niche Overlap between Two Sympatric Mongoose Species Inhabiting Pir Lasura National Park, Azad Jammu and Kashmir, Pakistan",24,Small indian mongoose,Carnivore,Pakistan,32.46081944 N,74.07455556 E
Alahkoon et al 2007,2007,"Food and Feeding Patterns of Asian Elephants in Udawalawe National Park, Sri Lanka",24,Elephant,Herbivore,Sri Lanka,6.47462778 N,80.87631944 E
Ali et al 2017,2017,"An assessment of food habits and altitudinal distribution of the Asiatic black bear (Ursus thibetanus) in the Western Himalayas, Pakistan",24,Asiatic black bear,Carnivore,Pakistan,34.234 N,72.817 E
Anoop et al 2021,2021,"Native mammals disperse the highly invasive Senna spectabilis in the Western Ghats, India",4,Elephant,Herbivore,India,11.70385278 N,76.40250278 E
