"author_of_the_papers","year_of_publishing","paper_heading","mammal_species","mammal_group","country","BIOME_NAME","ECO_NAME","REALM","SHAPE_LENG","SHAPE_AREA","geometry"
"Agetsuma 1995",1995,"Foraging Strategies of Yakushima Macaques (Macaca fuscata yakui) ","Japanese macaque","Primate","Japan","Tropical & Subtropical Moist Broadleaf Forests","Nansei Islands subtropical evergreen forests","Indomalayan",12.483463978,0.371414877599,c(130.51271389, 30.34459444)
"Agetsuma et al 2011",2011,"Food habits of Japanese deer in an evergreen forest: Litter-feeding deer","Sika deer","Herbivore","Japan","Tropical & Subtropical Moist Broadleaf Forests","Nansei Islands subtropical evergreen forests","Indomalayan",12.483463978,0.371414877599,c(130.51271389, 30.34459444)
"Agetsuma et al 2018",2018,"Plant constituents affecting food selection by sika deer","Sika deer","Herbivore","Japan","Tropical & Subtropical Moist Broadleaf Forests","Nansei Islands subtropical evergreen forests","Indomalayan",12.483463978,0.371414877599,c(130.51271389, 30.34459444)
"Akhtar  et al 2004",2004,"Sloth bear habitat use in disturbed and unprotected areas of Madhya Pradesh, India","Sloth bear","Carnivore","India","Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests","Indomalayan",56.6921007149,29.4746431379,c(81.96244444, 22.77272778)
"Akhtar & Chauhan 2009",2009,"FOOD HABITS AND HUMAN-JACKAL INTERACTION IN MARWAHI FOREST DIVISION, BILASPUR CHHATTISGARH","Golden Jackal","Carnivore","India","Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests","Indomalayan",56.6921007149,29.4746431379,c(82.05420556, 23.00638333)
"Akihito et al 2016",2016,"Long-term Trends in Food Habits of the Raccoon Dog, Nyctereutes viverrinus, in the Imperial Palace, Tokyo","Raccoon dog","Carnivore","Japan","Temperate Broadleaf & Mixed Forests","Taiheiyo evergreen forests","Palearctic",114.323182986,13.5533871008,c(139.75230833, 35.69210556)
"Akrim et al 2009",2009,"Distribution, Dietary Breadth and Niche Overlap between Two Sympatric Mongoose Species Inhabiting Pir Lasura National Park, Azad Jammu and Kashmir, Pakistan","Indian grey mongoose","Carnivore","Pakistan","Deserts & Xeric Shrublands","Baluchistan xeric woodlands","Palearctic",112.211253187,27.0215269751,c(74.07455556, 32.46081944)
"Akrim et al 2009",2009,"Distribution, Dietary Breadth and Niche Overlap between Two Sympatric Mongoose Species Inhabiting Pir Lasura National Park, Azad Jammu and Kashmir, Pakistan","Small indian mongoose","Carnivore","Pakistan","Deserts & Xeric Shrublands","Baluchistan xeric woodlands","Palearctic",112.211253187,27.0215269751,c(74.07455556, 32.46081944)
"Alahkoon et al 2007",2007,"Food and Feeding Patterns of Asian Elephants in Udawalawe National Park, Sri Lanka","Elephant","Herbivore","Sri Lanka","Tropical & Subtropical Dry Broadleaf Forests","Sri Lanka dry-zone dry evergreen forests","Indomalayan",13.4553203567,3.95273643314,c(80.87631944, 6.47462778)
"Ali et al 2017",2017,"An assessment of food habits and altitudinal distribution of the Asiatic black bear (Ursus thibetanus) in the Western Himalayas, Pakistan","Asiatic black bear","Carnivore","Pakistan","Tropical & Subtropical Coniferous Forests","Himalayan subtropical pine forests","Indomalayan",142.221901344,7.17296853467,c(72.817, 34.234)
"Anoop et al 2021",2021,"Native mammals disperse the highly invasive Senna spectabilis in the Western Ghats, India","Elephant","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats moist deciduous forests","Indomalayan",23.2135626313,1.95732797404,c(76.40250278, 11.70385278)
"Anoop et al 2021",2021,"Native mammals disperse the highly invasive Senna spectabilis in the Western Ghats, India","Spotted deer","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats moist deciduous forests","Indomalayan",23.2135626313,1.95732797404,c(76.40250278, 11.70385278)
"Anto et al 2018",2018,"Fruit predation and adaptive strategies of Garcinia imberti, an endangered species of southern Western Ghats.","Nilgiri langur","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests","Indomalayan",12.5286599376,1.86477055909,c(77.18466667, 8.69111111)
"Arandhara et al 2021",2021,"Influence of invasive Prosopis juliflora on the distribution and ecology of native blackbuck in protected areas of Tamil Nadu, India","Blackbuck","Herbivore","India","Tropical & Subtropical Dry Broadleaf Forests","East Deccan dry-evergreen forests","Indomalayan",11.7196122834,2.11082425844,c(80.22934167, 13.00370278)
"Aroon 2008",2008,"DIET AND HABITAT USE OF VIVERRID GROUP AT SAKAERAT ENVIRONMENTAL RESEARCH STATION, NAKHON RATCHASIMA","Civet sp","Carnivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Central Indochina dry forests","Indomalayan",128.771590998,26.8733957787,c(102.08358889, 14.97348611)
"Aroon et al 2012",2012,"Seasonal variation in the diet of common palm civet at Sakaerat Biosphere Reserve, Thailand","Common palm civet","Carnivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.91669444, 14.50002778)
"Asif et al 2018",2018,"Seasonal Variation in the Diet of Himalayan Grey Langur (Semnopithecus ajax) in Machiara National Park, Azad Jammu and Kashmir, Pakistan","Himalayan gray langur","Primate","Pakistan","Temperate Broadleaf & Mixed Forests","Western Himalayan broadleaf forests","Indomalayan",65.6044661364,5.34955234053,c(73.61113333, 34.56083056)
"Au et al 2006",2006,"Seed rain into upland plant communities in Hong Kong, China","Civet sp","Carnivore","China","Tropical & Subtropical Moist Broadleaf Forests","South China-Vietnam subtropical evergreen forests","Indomalayan",104.872158188,19.6000284653,c(114.13824722, 22.40876111)
"Aziz & Feroz 2009",2009,"Utilization of forest flora by Phayre’s Leaf-MonkeyTrachypithecus phayrei (Primates: Cercopithecidae) insemi-evergreen forests of Bangladesh","Phayrei's leaf monkey","Primate","Bangladesh","Tropical & Subtropical Moist Broadleaf Forests","Lower Gangetic Plains moist deciduous forests","Indomalayan",47.6092593332,22.6148787673,c(91.78716667, 24.32508611)
"Bach  et al 2017",2017,"Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest","Yellow-cheeked gibbon","Carnivore","Vietnam","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(107.43204722, 11.42391944)
"Balasubramanium_&_Bole_1992",1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu","Blackbuck","Herbivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Balasubramanium_&_Bole_1992",1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu","Bonnet macaque","Primate","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Balasubramanium_&_Bole_1992",1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu","Cattle","Herbivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Balasubramanium_&_Bole_1992",1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu","Golden Jackal","Carnivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Balasubramanium_&_Bole_1992",1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu","Indian grey mongoose","Carnivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Balasubramanium_&_Bole_1992",1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu","Small indian civet","Carnivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Balasubramanium_&_Bole_1992",1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu","Spotted deer","Herbivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Balasubramanium_&_Bole_1992",1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu","Wild pig","Herbivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Bargali et al 2004",2004,"Feeding ecology of sloth bears in a disturbed area in central India","Sloth bear","Carnivore","India","Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests","Indomalayan",56.6921007149,29.4746431379,c(82.05420556, 23.00638333)
"Bartels 1964",1964,"On Paradoxurus hermaphroditus javanicus (Horsfield, 1824). The Common Palm Civet or Tody Cat in western Java. Notes on its food and feeding habits. Its ecological importance for wood and rural biotopes","Common palm civet","Carnivore","Indonesia","Tropical & Subtropical Moist Broadleaf Forests","Western Java montane rain forests","Indomalayan",10.6123814112,2.14211502686,c(107.61874444, -6.91428333000001)
"Barua & Gogoi 2012",2012,"Observation on feeding & Lodging behaviour of Hoolock hoolock (Western Hoolock Gibbon) in Gibbon Wildlife Sanctuary, Assam.","Western hoolock gibbon","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests","Indomalayan",17.6517448979,5.14101713833,c(94.35989444, 26.666025)
"Baskaran & Desai 2013",2013,"Frugivory and seed dispersal by the Asian Elephant Elephas maximus in the tropical forests of Nilgiri Biosphere Reserve, southern India","Elephant","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats moist deciduous forests","Indomalayan",23.2135626313,1.95732797404,c(76.62979167, 11.66589444)
