animal_id,mammal_genus,mammal_scientific_name,mammal_type ,mammal_group,plant_pub_name,endemic_widelydistributed,native_exotic,habit,updated_genus,updated_species,family,fruit_nature,fruit_type,fruit_colour,colour_nature,fruit_odour,no_of_seed_per_fruit,seed_number,arillate_notarillate,fruit_length_l,fruit_length_h,fruit_breadth_l,fruit_breadth_h,fruit_diameter_l,fruit_diameter_h,seed_length_l,seed_length_h,seed_breadth_l,seed_breadth_h,seed_diameter_l,seed_diameter_h,iucn_status_plant,location_country,Asia_zone,author_id
Capped Langur,Trachypithecus,Trachypithecus pileatus,Primates,Ceropithecidae,Cassia sp,NA,NA,NA,Cassia,Cassia sp.,Fabaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bangladesh,Indian subcontinent,Hasan et al 2018
Capped Langur,Trachypithecus,Trachypithecus pileatus,Primates,Ceropithecidae,Terminalia bellerica,Widely distributed,Native,Tree,Terminalia ,Terminalia bellirica,Combretaceae,Fleshy,Drupe,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,2,3,1.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Hasan et al 2018
Capped Langur,Trachypithecus,Trachypithecus pileatus,Primates,Ceropithecidae,Ficus religiosa,Widely distributed,Native,Tree,Ficus,Ficus religiosa,Moraceae,Fig,Synconium,Purple,"Dark (Black, Blue, Purple, Violet)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,1,1.5,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Hasan et al 2018
Capped Langur,Trachypithecus,Trachypithecus pileatus,Primates,Ceropithecidae,Ficus hispida,Widely distributed,Native,Shrub,Ficus,Ficus hispida,Moraceae,Fig,Synconium,Red,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,1.2,3,NA,NA,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Hasan et al 2018
Capped Langur,Trachypithecus,Trachypithecus pileatus,Primates,Ceropithecidae,Syzygium cumini,Widely distributed,Native,Tree,Syzygium,Syzygium cumini,Myrtaceae,Fleshy,Berry,Violet,"Dark (Black, Blue, Purple, Violet)",present,1,One,Not arillate,1.25,5,NA,NA,1.5,2,0.47,0.73,NA,NA,2,2,Least Concern,Bangladesh,Indian subcontinent,Hasan et al 2018
Capped Langur,Trachypithecus,Trachypithecus pileatus,Primates,Ceropithecidae,Syzygium grande,Widely distributed,Native,Tree,Syzygium,Syzygium grande,Myrtaceae,Fleshy,Berry,Purple,"Dark (Black, Blue, Purple, Violet)",absent,1,One,Not arillate,NA,NA,NA,NA,0.4,0.6,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Hasan et al 2018
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Mangifera indica,Widely distributed,Exotic,Tree,Mangifera ,Mangifera indica,Anacardiaceae,Fleshy,Drupe,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,1,One,Not arillate,5,10,3.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,Data deficient,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Spondius dulcis,Widely distributed,Exotic,Tree,Spondias,Spondias dulcis,Anacardiaceae,Fleshy,Drupe,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,1,One,Not arillate,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Annona squamosa,Widely distributed,Exotic,Tree,Annona,Annona squamosa,Annonaceae,Fleshy,Aggregate of monocarp,Green,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,5,10,5,7.5,5,10,NA,NA,NA,NA,1.4,1.4,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Carissa carandans,Widely distributed,Native,Tree,Carissa,Carissa spinarum,Apocynaceae,Fleshy,Drupe,Black,"Dark (Black, Blue, Purple, Violet)",present,1,One,Not arillate,0.5,1.2,0.6,0.6,NA,NA,0.5,0.6,NA,NA,0.4,0.4,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
